principio,cnpj,Laboratorio,codigoGGREM,registro,ean,nome,apresentacao,classeTerapeutica
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505107701157215,1018003900019,7896016806469,ORENCIA,250 MG PO LIOF INJ CT FA + SER DESC,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019605,1018003900027,7896016807442,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019705,1018003900035,7896016807466,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019805,1018003900043,7896016807459,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113030019905,1018003900051,7896016807473,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113100020405,1018003900061,7896016808180,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113100020505,1018003900078,7896016808197,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS
ABCIXIMABE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507602501155210,1126000100027,7896382701801,REOPRO,2 MG/ML SOL INJ CT FA VD INC X 5 ML,"B01C3 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, ANTAGONISTAS GLICOPROTEÍNA IIB/IIIA"
ACARBOSE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531613701110411,1356900350083,7894916503761,AGLUCOSE,100 MG COM CT 3 BL AL PVDC LEIT X 10,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE
ACARBOSE,18.459.628/0001-15,BAYER S.A.,538912050014313,1705600740091,7891106001748,GLUCOBAY,100 MG COM CT BL AL/AL X 30,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE
ACARBOSE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531613702117411,1356900350032,7894916503754,AGLUCOSE,50 MG COM CT 3 BL AL PVDC LEIT X 10,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE
ACARBOSE,18.459.628/0001-15,BAYER S.A.,538912050014213,1705600740073,7891106001731,GLUCOBAY,50 MG COM CT BL AL/AL X 30,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508013120101205,1004310860022,7891317485153,FILINAR G,5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED,R05C0 - EXPECTORANTES
ACEBROFILINA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531618501136418,1356903940035,7894916504072,EXPECDILAT,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,02.814.497/0001-07,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,506409801136113,1438101310011,7896523209111,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,02.814.497/0001-07,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,506414100028706,1438101310038,7896523209098,ACEBROFILINA,10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
